audio_file|text
E:\something_new\audio\aswini_clips\aswini_0000.wav|Hello? Hello, good evening, sir. Ms. Amarnath, sir.
E:\something_new\audio\aswini_clips\aswini_0001.wav|So this is Ashwini sir calling from XS Electronics.
E:\something_new\audio\aswini_clips\aswini_0002.wav|Sir, a very good evening. Is this Mr. Anupmanan?
E:\something_new\audio\aswini_clips\aswini_0003.wav|Hello, good morning sir.
E:\something_new\audio\aswini_clips\aswini_0004.wav|Sir, this is Ashwini sir calling from XS Electronics. Madam, you call me after some time.
E:\something_new\audio\aswini_clips\aswini_0005.wav|Hello, sir, very good morning. Is this Mr. Badri, sir?
E:\something_new\audio\aswini_clips\aswini_0006.wav|Sir Ashwin is calling from XS Electronics.
E:\something_new\audio\aswini_clips\aswini_0007.wav|regional distributors of Tamsung.
E:\something_new\audio\aswini_clips\aswini_0008.wav|Pardon, Regional? Regional distributors of Samsung sir, Samsung.
E:\something_new\audio\aswini_clips\aswini_0009.wav|Is this right time to speak with you, sir? Yes, yes, yes.
E:\something_new\audio\aswini_clips\aswini_0010.wav|Yes sir, earlier Mr. Manikandan sir have met you at your office. No, I already discussed with him.
E:\something_new\audio\aswini_clips\aswini_0011.wav|Is there any requirement now or in the future for the...
E:\something_new\audio\aswini_clips\aswini_0012.wav|and Samsung displays, signage boards.
E:\something_new\audio\aswini_clips\aswini_0013.wav|Okay, sir. Actually, it's just a courtesy call.
E:\something_new\audio\aswini_clips\aswini_0014.wav|So I would like to send in a brief about the companies.
E:\something_new\audio\aswini_clips\aswini_0015.wav|I'll just send you a brief about it in WhatsApp. Please do send me your email id sir.
E:\something_new\audio\aswini_clips\aswini_0016.wav|Thank you, sir. Thank you for your time.
E:\something_new\audio\aswini_clips\aswini_0017.wav|So very good evening. Is this Bindu Chakravarti?
E:\something_new\audio\aswini_clips\aswini_0018.wav|yeah okay sure sir we will do okay sir thank you sir thank you
E:\something_new\audio\aswini_clips\aswini_0019.wav|Good evening, ma'am. Ashwini here.
E:\something_new\audio\aswini_clips\aswini_0020.wav|Madam today, I have sent you final bests price. Yes, take a look at it madam.
E:\something_new\audio\aswini_clips\aswini_0021.wav|Okay, ma'am. Okay, ma'am. Sure, ma'am. Thank you, ma'am.
E:\something_new\audio\aswini_clips\aswini_0022.wav|Hello, good evening, sir. Mr. Franklin, sir.
E:\something_new\audio\aswini_clips\aswini_0023.wav|Sure sir. Sir, who is the contact in the Purchase Department? Kalli.
E:\something_new\audio\aswini_clips\aswini_0024.wav|Okay, sir, I'll talk to her. Thank you. Thank you.
E:\something_new\audio\aswini_clips\aswini_0025.wav|before 2-3 months, sir. For Samsung, sir.
E:\something_new\audio\aswini_clips\aswini_0026.wav|So far nothing. If there is anything else, I'll get back to you.
E:\something_new\audio\aswini_clips\aswini_0027.wav|I am Ashwini from XS Electronics
E:\something_new\audio\aswini_clips\aswini_0028.wav|So earlier Mr. Manikandan sir would have met you. You would have given him orders.
E:\something_new\audio\aswini_clips\aswini_0029.wav|I guess to follow that mum made a requirement or type of
E:\something_new\audio\aswini_clips\aswini_0030.wav|Ok Mom, I will let him know when I know that it won´t hurt.
E:\something_new\audio\aswini_clips\aswini_0031.wav|Do you want normal or this? Normal
E:\something_new\audio\aswini_clips\aswini_0032.wav|Okay, thank you.
E:\something_new\audio\aswini_clips\aswini_0033.wav|Hello, good morning, ma'am. Krishnamini ma'am.
E:\something_new\audio\aswini_clips\aswini_0034.wav|I am Ashwini Peslammam from XS Electronics.
E:\something_new\audio\aswini_clips\aswini_0035.wav|So, before four days, you asked me to share a quotation for Samsung TV.
E:\something_new\audio\aswini_clips\aswini_0036.wav|I will share the quotation in WhatsApp. Okay, I will check and give you.
E:\something_new\audio\aswini_clips\aswini_0037.wav|Yes, Swamiji. Just email it to me. I will share it in WhatsApp. I will share the official email.
E:\something_new\audio\aswini_clips\aswini_0038.wav|Okay. Thank you.
E:\something_new\audio\aswini_clips\aswini_0039.wav|Exactly, actually we have no control. We don't recommend it. You can buy it from Samsung.
E:\something_new\audio\aswini_clips\aswini_0040.wav|It is a personal choice of the...
E:\something_new\audio\aswini_clips\aswini_0041.wav|So, we are brand new, Salman is brand new to it.
E:\something_new\audio\aswini_clips\aswini_0042.wav|It is the choice of the employees.
E:\something_new\audio\aswini_clips\aswini_0043.wav|people to say put kiosks here and say market their products.
E:\something_new\audio\aswini_clips\aswini_0044.wav|Even for cars also we are not doing it. I'll just check.
E:\something_new\audio\aswini_clips\aswini_0045.wav|what is whether it is possible and I get back to you.
E:\something_new\audio\aswini_clips\aswini_0046.wav|They didn't come and meet regarding factory EACs and other things.
E:\something_new\audio\aswini_clips\aswini_0047.wav|whatever is the other products you are having. They came and met her. Yeah.
E:\something_new\audio\aswini_clips\aswini_0048.wav|Without the purchase the shoulder.
E:\something_new\audio\aswini_clips\aswini_0049.wav|The Samsung OEMs came and met Akshar Ania.
E:\something_new\audio\aswini_clips\aswini_0050.wav|I am not sure what happened after that because I have no idea.
E:\something_new\audio\aswini_clips\aswini_0051.wav|where it is being bought or from whom it is being bought.
E:\something_new\audio\aswini_clips\aswini_0052.wav|So, the best thing is you have to talk to our...
