arunkumar - aswini|Hello. Hello. Good morning sir. Arun Kumar sir. What is this? Sir, this is Ashwini. It is a calling from Exxior Electronics. I will call you after sometime. I am in the hour. Yes. Okay. I will call you after sometime. I am in the hour. Yes.
badri - aswini|Hello sir, very good morning. Is this Mr. Madri sir? Yes, yes. And Sir Ashwinita calling for a maximum electronics regional distributors of Sam Sangha. Pardon? Where is my regional distributors of Sam Sangha? Sam Sangha. Yes sir. Is this right time to speak with you sir? Pardon? Is this right time to speak with you sir? Yes, yes sir. Yes sir. Yes sir. Earlier Mr. Manigand sir have met you at your office. Sir, I already discussed with you. What is this sir? Okay. Okay. Sir, is there any requirements now or in the future for the Thompson displays, signage boards, mobile staff, laptops? I just want to go and bring in the insurance. I think you are all interested in this. I will be informed with the Mulligan. Okay, okay. I understand. Okay sir. Actually it is just in courtesy call. So I would like to send in brief about the companies. Yes, yes, yes. You are all very concerned. And we will come to the talk. Yes, okay. Fine. Sir, that will do. So I will just send you a brief about in what's up. Please do send me your email. I will be sure. Yes, yes. Okay. Thank you sir. Thank you for your time. Thank you.
final_price-krishnaveni-aswini|J told you ,we did not make such nice experiences and delicate,family long aunties always brothers. U told to Come and Allah, deepest peace of faith in youの esto chat with your friends and family now.
hariprasad - aswini|Hello. Hello. So, very good morning sir. Mr. Hari Prasad sir. Yes. Sir, this is Ashwin. He is calling from Excess Electronics. Okay. Regional distributors of Samsung. Yes. So Mr. Manigandhan sir, I have visited you several times. I am going to enter. Yes. Before two or three months, you were for Samsung sir. Yes sir. For TV something. For TV exactly. We have already quoted also. Yes. For Samsung goods. Yes. So sir, in order to renew that you were going for the department. So I was looking into this. So is there any requirements now or in the future sir for any of the Samsung consumer or commercial products? So for nothing. Very simple and sure. Very good. Good practice. So, we are into HP also sir. So, both Samsung products and HP we are doing with them. Okay. You are currently company? No sir. Actually, we are the regional distributors for Samsung. For the distributors for Samsung. For Samsung. Yes. Yes. Or Samsung. Yes. HP dealers. We are not regional distributors. We are dealers just. Yes. So, we are into T2 of them. So. Sure. So Samsung is a major vertical for us. Got it. Yes. So, if there is any requirement please do call us. We'll do support. Will do that. Yes sir. This is your WhatsApp number. Yes. I just send a brief profile about our company. Please have a look on it. And please do send your email ideals so that I will forward the details. Thank you. Thank you so much for your time. Thank you. Thank you. Thank you.
krishnaveeni - aswini|குடிப் போலேன் நம்மாம் கிஞvirna Ik with Guru Devика FM .amanும் வார்நாத்தின் உங்களை அளடிவிற்சு மோதம்த heritage , வீ birth வல், இடிலிலிலிெனிருfinite of our Swamsamga , முடியம் பவியைப் கண்டிக் கொடுத்து எதிரண்டார்கள் இது இதாவது உன்னிடக்கு முன்ப நட்கவும்.
krishnaveni - aswini|はい, viwhui, vawhoechu vawh whouku vawhouдеwhou�데oouke piNEan
magesh - aswini|Hello. Hello, very good afternoon sir, Mr. Magesh sir. Speaking. Sir, this is Ashwin, he is calling from Exist Electronics, regional distributors of Samsung. So, it is a sight time to speak with you sir. If it is regarding what, my shoulder? Sir, regarding the Samsung products or consumer electronics. So, already Exist solutions were already in tie up with you sir. And, exactly, we have no control actually. We don't recommend, say that you can buy it from Samsung and in our career. It is a personal choice of the employees. We are brand, we are brand, I said, Ma, Sarmar is brand-youtube and it is a choice of the employees Ma. Actually, we don't, I love people to say, we put kiosk here and say market their products even for cars also then we are not doing it. I will just check what is whether it is possible and I get back to you. No sir, actually I am not calling for any kiosk type thing or anything, sir, actually. So, if there is any requirement officially like the stops monitors or split-taces, taps for your employees. No, I think, if there is anything like that. ASE is in other things. I think somebody from Samsung might purchase department because it is not going to IT, it is going to the purchase department and they did come and meet regarding ASEs and factly ASEs in other things. What is the other products you are having? Catchetation. Yes. The purchase hit Mr. Sharanya. Sometime back they did meet the Samsung, the OEMs came and met Sharanya. They don't know. You will happen a couple of years dark. Yes. Okay. I am not sure what happened after that because I have no idea where it is being bought or from whom it is being bought. So, the best thing is you have to talk to our purchase team because purchase is a common function. You can talk to the purchase team which is in our court office and then be the best to tidy out. Okay, sir. Like for taps you will be looking also. We are not using any tabs. The mobile and the monitors, the stops. The monitors. I think we buy only Dell monitors. Okay. Because we buy just Dell laptops and desktops. We buy only Dell monitors. In case there is any requirement for any displays and other things. Access is one of them and then other supplier is O2K. We buy only Samsung monitors. Samsung displays. Either it could be professional monitors or TVs. We buy only Samsung. Samsung. Okay. Samsung displays its solutions supporting you. I am right, sir. O2K Office 2000 is supporting you. I can get you, sir. Office 2000. Office 2000. Okay. Office 2000 is supporting us. We have some. These displays are there. Professional displays are there. Okay. Where they do the signage and Office 2000 is supporting us. Office 2000. Okay, sir. So where do you buy signage books from Office 2000, sir? Okay. There are AV partners. AV partners. Okay. Okay. They are based out of Chennai, sir. Office 2000. They are based out of Chennai, Hindi. Hindi. Okay. Okay. And listen. Okay, sir. So can I have suddenly a mom's number like something? Can you share with me, sir? No, because they were all she has already spoken to the Samsung OEM team and. And she has already discussed and she has shared I think what was the requirement at that. So we are just saying to us, what is the requirement at that point of time? At that point of time. Now also, sir, we are. Samsung only will give the solution directly to you. We are just saying to us, supply chain management. So it happens like that. I don't have you can call to 8123. Calling from Chennai call to 22885 002. 812885 008500. 8500. Okay. You ask for. There is any requirements in IIT department, please. Through call. Sure. I'm just sending you the profile in your whatsapp. Sure. So we know that this requirement is. Thank you. Thank you for your time. Thank you.
mohammad - aswini|۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔ ۔
ramesh - aswini|Hello. Hello. Good afternoon sir, Mr. Ramesh sir. Yes. Sir, I am Ashwin here, sir, from the Exit Electronics, Regional Distributors of Samta. So yesterday I called you the river and you were here for this. Now, is it? Yes, so it is called, oh, Mr. Ravindran. Ravindran, sir. Ravindran. I will be there. Okay, sir. Sir, number is Anarkasaravita. Number is Anarkasaravita. Yes. I will be there. Yes, sir. Is there contact number? Oh, yes. Okay. Yes, sir. Yes, sir. Okay. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes.
sadasivam - aswini|Hello, very good morning sir. Hello, very good morning sir. Is it Sada, Sibham sir? I speak. This is Ashwin, he is calling from excess electronics. We are regional distributors of Samsung. Is this writing to speak with you sir? See, I will give you a cut if there is an requirement. It's on the silver spoon. You can send me the profiles and I will put it fully as a water. I will check and I will leave. There is any requirement I will get. Sir, actually we want to just come and visit you directly. As a courtesy visit because earlier our person have come and met you with humans. Probably next week we can plan. Next week, sir. Can I know the dates or so that any two? Choose the advanced. Choose your Wednesday. Timeing, sir. Probably 1130, 1030. 1030, 1130, right sir. Okay, sir. You are in the emaci in the middle of that month and the view also. Which floor? Sir, actually. Fort. Fort. Okay, sir. Thank you. Thank you.
